drugbank_id	target_id	target_name	target_organism	swissprot_id	gene_name	cellular_location
DB00123	BE0000052	Cationic amino acid transporter 4	Human	O43246	SLC7A4	Membrane; multi-pass membrane protein (Probable)
DB00123	BE0000136	Cationic amino acid transporter 3	Human	Q8WY07	SLC7A3	Cell membrane; multi-pass membrane protein
DB00123	BE0000562	Low affinity cationic amino acid transporter 2	Human	P52569	SLC7A2	Membrane; multi-pass membrane protein
DB00123	BE0000198	Lysine--tRNA ligase	Human	Q15046	KARS	Cytoplasm
DB00125	BE0000263	Nitric oxide synthase, endothelial	Human	P29474	NOS3	
DB00125	BE0000136	Cationic amino acid transporter 3	Human	Q8WY07	SLC7A3	Cell membrane; multi-pass membrane protein
DB00125	BE0000448	Arginine decarboxylase	Human	Q96A70	ADC	
DB00125	BE0000520	Argininosuccinate lyase	Human	P04424	ASL	
DB00125	BE0000005	Nitric oxide synthase, inducible	Human	P35228	NOS2	
DB00125	BE0000212	High affinity cationic amino acid transporter 1	Human	P30825	SLC7A1	Membrane; multi-pass membrane protein
DB00125	BE0000758	Arginase-2, mitochondrial	Human	P78540	ARG2	Mitochondrion
DB00125	BE0000052	Cationic amino acid transporter 4	Human	O43246	SLC7A4	Membrane; multi-pass membrane protein (Probable)
DB00125	BE0000671	Argininosuccinate synthase	Human	P00966	ASS1	
DB00126	BE0004338	Lactase-phlorizin hydrolase	Human	P09848	LCT	Apical cell membrane
DB00126	BE0001361	Hyaluronate lyase	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	Q54873	SP_0314	Cell wall; peptidoglycan-anchor (Potential)
DB00126	BE0001225	Xylose isomerase	Streptomyces rubiginosus	P24300	xylA	Cytoplasm
DB00126	BE0002192	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	Human	O00469	PLOD2	Endoplasmic reticulum
DB00126	BE0002117	Phytanoyl-CoA dioxygenase, peroxisomal	Human	O14832	PHYH	Peroxisome
DB00126	BE0002195	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	Human	O60568	PLOD3	Endoplasmic reticulum
DB00126	BE0002197	Gamma-butyrobetaine dioxygenase	Human	O75936	BBOX1	Cytoplasm
DB00126	BE0000138	Dopamine beta-hydroxylase	Human	P09172	DBH	Exists both in a soluble form (in chromaffin granules) and as membrane bound (the membrane bound for
DB00126	BE0002200	Peptidyl-glycine alpha-amidating monooxygenase	Human	P19021	PAM	Membrane
DB00126	BE0000060	Prolyl 4-hydroxylase subunit alpha-1	Human	P13674	P4HA1	Endoplasmic reticulum; endoplasmic reticulum lumen
DB00126	BE0002202	Prolyl 3-hydroxylase 1	Human	Q32P28	LEPRE1	Endoplasmic reticulum
DB00126	BE0002203	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2	Human	Q6N063	OGFOD2	
DB00126	BE0002205	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2	Human	Q6NS38	ALKBH2	Nucleus
DB00126	BE0002206	Prolyl 3-hydroxylase 2	Human	Q8IVL5	LEPREL1	Endoplasmic reticulum
DB00126	BE0002208	Prolyl 3-hydroxylase 3	Human	Q8IVL6	LEPREL2	Endoplasmic reticulum
DB00126	BE0002210	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1	Human	Q8N543	OGFOD1	
DB00126	BE0002211	Egl nine homolog 2	Human	Q96KS0	EGLN2	Cytoplasm
DB00126	BE0002213	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Human	Q96Q83	ALKBH3	Cytoplasm
DB00126	BE0002215	Lysine-specific demethylase 5D	Human	Q9BY66	KDM5D	Cytoplasmic
DB00126	BE0002217	Egl nine homolog 1	Human	Q9GZT9	EGLN1	
DB00126	BE0000168	Solute carrier family 23 member 1	Human	Q9UHI7	SLC23A1	Membrane; multi-pass membrane protein
DB00126	BE0000087	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Human	Q02809	PLOD1	Endoplasmic reticulum; rough endoplasmic reticulum; rough endoplasmic reticulum membrane; peripheral
DB00126	BE0002219	Egl nine homolog 3	Human	Q9H6Z9	EGLN3	Cytoplasm
DB00126	BE0002221	Trimethyllysine dioxygenase, mitochondrial	Human	Q9NVH6	TMLHE	Mitochondrion
DB00126	BE0002223	Transmembrane prolyl 4-hydroxylase	Human	Q9NXG6	P4HTM	Endoplasmic reticulum
DB00127	BE0000964	Spermine synthase	Human	P52788	SMS	
DB00127	BE0000566	Spermine oxidase	Human	Q9NWM0	SMOX	Cytoplasm
DB00127	BE0000404	Ornithine decarboxylase	Human	P11926	ODC1	
DB00128	BE0003317	Ribonuclease pancreatic	Human	P07998	RNASE1	Secreted protein
DB00128	BE0003751	Lysozyme C	Human	P61626	LYZ	
DB00128	BE0000277	Calcium-binding mitochondrial carrier protein Aralar2	Human	Q9UJS0	SLC25A13	Mitochondrion; mitochondrial inner membrane; multi-pass membrane protein
DB00128	BE0000529	Aspartate aminotransferase, cytoplasmic	Human	P17174	GOT1	Cytoplasm
DB00128	BE0000277	Calcium-binding mitochondrial carrier protein Aralar2	Human	Q9UJS0	SLC25A13	Mitochondrion; mitochondrial inner membrane; multi-pass membrane protein
DB00128	BE0000187	Aspartoacylase	Human	P45381	ASPA	Cytoplasmic
DB00128	BE0000219	Asparagine synthetase [glutamine-hydrolyzing]	Human	P08243	ASNS	
DB00128	BE0000671	Argininosuccinate synthase	Human	P00966	ASS1	
DB00128	BE0000481	Aminoacylase-1	Human	Q03154	ACY1	Cytoplasm
DB00128	BE0000383	Aspartate aminotransferase, mitochondrial	Human	P00505	GOT2	Mitochondrion; mitochondrial matrix
DB00128	BE0000725	Aspartate--tRNA ligase, cytoplasmic	Human	P14868	DARS	Cytoplasm
DB00128	BE0000235	Calcium-binding mitochondrial carrier protein Aralar1	Human	O75746	SLC25A12	Mitochondrion; mitochondrial inner membrane; multi-pass membrane protein
DB00128	BE0000528	Aspartyl/asparaginyl beta-hydroxylase	Human	Q12797	ASPH	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass type II membrane protein
DB00128	BE0002225	Multifunctional protein ADE2	Human	P22234	PAICS	
DB00128	BE0002227	CAD protein	Human	P27708	CAD	Cytoplasm
DB00128	BE0002228	Adenylosuccinate synthetase isozyme 2	Human	P30520	ADSS	Cytoplasm
DB00128	BE0001054	Excitatory amino acid transporter 3	Human	P43005	SLC1A1	Membrane; multi-pass membrane protein
DB00128	BE0002152	Aspartate aminotransferase	Human	P43005	GIG18	
DB00128	BE0000788	Argininosuccinate synthetase, isoform CRA_a	Human	P43005	ASS1	
DB00128	BE0002229	Aspartate--tRNA ligase, mitochondrial	Human	Q6PI48	DARS2	Mitochondrion
DB00128	BE0002230	Isoaspartyl peptidase/L-asparaginase	Human	Q7L266	ASRGL1	Cytoplasmic
DB00128	BE0002231	Adenylosuccinate synthetase isozyme 1	Human	Q8N142	ADSSL1	Cytoplasm
DB00128	BE0002232	Aspartoacylase-2	Human	Q96HD9	ACY3	Cytoplasmic
DB00129	BE0000424	Ornithine aminotransferase, mitochondrial	Human	P04181	OAT	Mitochondrion; mitochondrial matrix
DB00129	BE0000306	Ornithine carbamoyltransferase, mitochondrial	Human	P00480	OTC	Mitochondrion; mitochondrial matrix
DB00129	BE0000286	Arginase-1	Human	P05089	ARG1	Cytoplasm
DB00129	BE0000371	Ornithine decarboxylase antizyme 1	Human	P54368	OAZ1	
DB00129	BE0000562	Low affinity cationic amino acid transporter 2	Human	P52569	SLC7A2	Membrane; multi-pass membrane protein
DB00129	BE0000258	Mitochondrial ornithine transporter 2	Human	Q9BXI2	SLC25A2	Mitochondrion; mitochondrial inner membrane; multi-pass membrane protein
DB00129	BE0000052	Cationic amino acid transporter 4	Human	O43246	SLC7A4	Membrane; multi-pass membrane protein (Probable)
DB00129	BE0000212	High affinity cationic amino acid transporter 1	Human	P30825	SLC7A1	Membrane; multi-pass membrane protein
DB00129	BE0000758	Arginase-2, mitochondrial	Human	P78540	ARG2	Mitochondrion
DB00129	BE0000201	Mitochondrial ornithine transporter 1	Human	Q9Y619	SLC25A15	Mitochondrion; mitochondrial inner membrane; multi-pass membrane protein
DB00129	BE0000136	Cationic amino acid transporter 3	Human	Q8WY07	SLC7A3	Cell membrane; multi-pass membrane protein
DB00129	BE0002233	Ornithine decarboxylase antizyme 2	Human	O95190	OAZ2	
DB00129	BE0000347	Glycine amidinotransferase, mitochondrial	Human	P50440	GATM	Mitochondrion. Cytoplasm. The mitochondrial form is found in the intermembrane space probably attach
DB00129	BE0002234	Ornithine decarboxylase antizyme 3	Human	Q9UMX2	OAZ3	Nucleus
DB00130	BE0000874	CTP synthase 1	Human	P17812	CTPS	
DB00130	BE0000374	Amidophosphoribosyltransferase	Human	Q06203	PPAT	
DB00130	BE0002240	Glutamine synthetase	Human	P15104	GLUL	Cytoplasm
DB00131	BE0000958	Cyclic AMP-responsive element-binding protein 1	Human	P16220	CREB1	Nucleus
DB00131	BE0001277	Serine/threonine-protein kinase pim-1	Human	P11309	PIM1	Isoform 2:Cytoplasm. Nucleus. Isoform 1:Cell membrane
DB00131	BE0000487	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Human	Q07343	PDE4B	Cytoplasmic
DB00131	BE0000007	Glycogen phosphorylase, liver form	Human	P06737	PYGL	
DB00131	BE0000254	5'-AMP-activated protein kinase subunit beta-1	Human	Q9Y478	PRKAB1	Cytoplasmic
DB00131	BE0001473	Histidine triad nucleotide-binding protein 1	Human	P49773	HINT1	Cytoplasm. Nucleus. Note=Interaction with CDK7 leads to a more nuclear localization
DB00131	BE0001287	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Human	Q08499	PDE4D	Cytoplasm. Membrane (By similarity). Cytoplasm; cytoskeleton (By similarity). Centrosome (By similar
DB00131	BE0000746	Acetyl-coenzyme A synthetase 2-like, mitochondrial	Human	Q9NUB1	ACSS1	Mitochondrion; mitochondrial matrix
DB00131	BE0000350	Acetyl-coenzyme A synthetase, cytoplasmic	Human	Q9NR19	ACSS2	Cytoplasm
DB00131	BE0000677	5'-AMP-activated protein kinase catalytic subunit alpha-1	Human	Q13131	PRKAA1	
DB00131	BE0000774	5'-AMP-activated protein kinase subunit beta-2	Human	O43741	PRKAB2	
DB00131	BE0000269	Adenylate cyclase type 1	Human	Q08828	ADCY1	Membrane; multi-pass membrane protein
DB00131	BE0000639	Long-chain-fatty-acid--CoA ligase 1	Human	P33121	ACSL1	Mitochondrion; mitochondrial outer membrane; single-pass type III membrane protein. Peroxisome; pero
DB00131	BE0002431	Fructose-1,6-bisphosphatase 1	Human	P09467	FBP1	Cytoplasmic
DB00131	BE0003540	Adenosine kinase	Human	P55263	ADK	
DB00132	BE0000888	Fatty acid desaturase 1	Human	O60427	FADS1	
DB00132	BE0002246	Fatty acid desaturase 2	Human	O95864	FADS2	
DB00132	BE0000986	Sodium/calcium exchanger 1	Human	P32418	SLC8A1	Cell membrane; multi-pass membrane protein
DB00132	BE0001023	Transient receptor potential cation channel subfamily V member 1	Human	Q8NER1	TRPV1	Cell membrane; multi-pass membrane protein
DB00132	BE0002247	Elongation of very long chain fatty acids protein 4	Human	Q9GZR5	ELOVL4	Endoplasmic reticulum
DB00133	BE0000323	Cystathionine beta-synthase	Human	P35520	CBS	Cytoplasm
DB00133	BE0000164	L-serine dehydratase/L-threonine deaminase	Human	P20132	SDS	Cytoplasm
DB00133	BE0000388	Serine racemase	Human	Q9GZT4	SRR	
DB00133	BE0000660	Serine palmitoyltransferase 2	Human	O15270	SPTLC2	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass membrane protein
DB00133	BE0000441	Serine palmitoyltransferase 1	Human	O15269	SPTLC1	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass membrane protein
DB00133	BE0000063	Serine--tRNA ligase, cytoplasmic	Human	P49591	SARS	
DB00133	BE0000316	Serine--pyruvate aminotransferase	Human	P21549	AGXT	Peroxisome. Except in some PH1 patients where AGT is found in the mitochondrial matrix
DB00134	BE0000763	Methionine synthase reductase	Human	Q9UBK8	MTRR	Isoform B, isoform C:Cytoplasm. Isoform A:Mitochondrion (Probable)
DB00134	BE0000734	Methionine synthase	Human	Q99707	MTR	Cytoplasm
DB00134	BE0001534	Methionine aminopeptidase 2	Human	P50579	METAP2	Cytoplasmic
DB00134	BE0000845	Betaine--homocysteine S-methyltransferase 1	Human	Q93088	BHMT	Cytoplasm
DB00134	BE0002249	S-methylmethionine--homocysteine S-methyltransferase BHMT2	Human	Q9H2M3	BHMT2	
DB00135	BE0000614	Tyrosine 3-monooxygenase	Human	P07101	TH	
DB00135	BE0000363	Tyrosine--tRNA ligase, mitochondrial	Human	Q9Y2Z4	YARS2	Mitochondrion; mitochondrial matrix
DB00135	BE0000230	Tyrosine--tRNA ligase, cytoplasmic	Human	P54577	YARS	Cytoplasm
DB00135	BE0000692	Tyrosine aminotransferase	Human	P17735	TAT	
DB00136	BE0000779	Vitamin D3 receptor	Human	P11473	VDR	Nucleus
DB00138	BE0000030	Cystine/glutamate transporter	Human	Q9UPY5	SLC7A11	Membrane; multi-pass membrane protein (Probable)
DB00138	BE0000035	Cystinosin	Human	O60931	CTNS	Lysosome; lysosomal membrane; multi-pass membrane protein
DB00138	BE0002251	B(0,+)-type amino acid transporter 1	Human	P82251	SLC7A9	Membrane
DB00138	BE0001130	Neutral and basic amino acid transport protein rBAT	Human	Q07837	SLC3A1	Membrane; single-pass type II membrane protein (Potential)
DB00139	BE0002257	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	Human	Q99643	SDHC	Mitochondrion
DB00139	BE0002258	Succinate receptor 1	Human	Q9BXA5	SUCNR1	Membrane
DB00139	BE0002259	Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial	Human	Q9BYC2	OXCT2	Mitochondrion
DB00139	BE0002221	Trimethyllysine dioxygenase, mitochondrial	Human	Q9NVH6	TMLHE	Mitochondrion
DB00139	BE0002260	Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	Human	Q9P2R7	SUCLA2	Mitochondrion
DB00139	BE0002261	Mitochondrial dicarboxylate carrier	Human	Q9UBX3	SLC25A10	Mitochondrion
DB00139	BE0000176	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Human	P31040	SDHA	Mitochondrion; mitochondrial inner membrane
DB00139	BE0000989	17-beta-hydroxysteroid dehydrogenase type 6	Human	O14756	HSD17B6	
DB00139	BE0000611	Solute carrier family 13 member 3	Human	Q8WWT9	SLC13A3	Membrane; multi-pass membrane protein
DB00139	BE0000447	Solute carrier family 13 member 2	Human	Q13183	SLC13A2	Membrane; multi-pass membrane protein (Potential)
DB00139	BE0000022	Solute carrier family 13 member 1	Human	Q9BZW2	SLC13A1	Membrane; multi-pass membrane protein
DB00139	BE0000355	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	Human	Q96I99	SUCLG2	Mitochondrion
DB00139	BE0002252	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	Human	O14521	SDHD	Mitochondrion
DB00139	BE0002253	Prolyl 4-hydroxylase subunit alpha-2	Human	O15460	P4HA2	Endoplasmic reticulum
DB00139	BE0002195	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	Human	O60568	PLOD3	Endoplasmic reticulum
DB00139	BE0002197	Gamma-butyrobetaine dioxygenase	Human	O75936	BBOX1	Cytoplasm
DB00139	BE0000060	Prolyl 4-hydroxylase subunit alpha-1	Human	P13674	P4HA1	Endoplasmic reticulum; endoplasmic reticulum lumen
DB00139	BE0002254	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	Human	P21912	SDHB	Mitochondrion
DB00139	BE0000152	Succinate-semialdehyde dehydrogenase, mitochondrial	Human	P51649	ALDH5A1	
DB00139	BE0002255	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	Human	P53597	SUCLG1	Mitochondrion
DB00139	BE0002256	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	Human	P55809	OXCT1	Mitochondrion
DB00139	BE0000087	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Human	Q02809	PLOD1	Endoplasmic reticulum; rough endoplasmic reticulum; rough endoplasmic reticulum membrane; peripheral
DB00139	BE0000528	Aspartyl/asparaginyl beta-hydroxylase	Human	Q12797	ASPH	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass type II membrane protein
DB00139	BE0002202	Prolyl 3-hydroxylase 1	Human	Q32P28	LEPRE1	Endoplasmic reticulum
DB00139	BE0002206	Prolyl 3-hydroxylase 2	Human	Q8IVL5	LEPREL1	Endoplasmic reticulum
DB00139	BE0002208	Prolyl 3-hydroxylase 3	Human	Q8IVL6	LEPREL2	Endoplasmic reticulum
DB00140	BE0000370	Riboflavin kinase	Human	Q969G6	RFK	Cytoplasm
DB00140	BE0003327	Riboflavin synthase	Escherichia coli (strain K12)	P0AFU8	ribE	
DB00140	BE0000595	Flavin reductase (NADPH)	Human	P30043	BLVRB	Cytoplasm (Potential)
DB00141	BE0002262	Beta-1,4-galactosyltransferase 3	Human	O60512	B4GALT3	Golgi apparatus
DB00141	BE0002263	Beta-1,4-galactosyltransferase 4	Human	O60513	B4GALT4	Golgi apparatus
DB00141	BE0002264	Beta-1,4-galactosyltransferase 2	Human	O60909	B4GALT2	Golgi apparatus
DB00141	BE0002265	N-acetyl-D-glucosamine kinase	Human	Q9UJ70	NAGK	
DB00141	BE0002266	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	Human	Q9UK23	NAGPA	Golgi apparatus
DB00141	BE0000391	Alpha-N-acetylglucosaminidase	Human	P54802	NAGLU	
DB00141	BE0000109	N-acylglucosamine 2-epimerase	Human	P51606	RENBP	
DB00141	BE0000259	Beta-1,4-galactosyltransferase 1	Human	P15291	B4GALT1	Isoform Long, isoform Short:Golgi apparatus; Golgi stack; Golgi stack membrane; single-pass type II 
DB00142	BE0000824	Metabotropic glutamate receptor 1	Human	Q13255	GRM1	Membrane; multi-pass membrane protein
DB00142	BE0000833	Metabotropic glutamate receptor 4	Human	Q14833	GRM4	Membrane; multi-pass membrane protein
DB00142	BE0000827	Glutamate receptor ionotropic, kainate 4	Human	Q16099	GRIK4	Membrane; multi-pass membrane protein
DB00142	BE0000828	Glutamate receptor ionotropic, kainate 5	Human	Q16478	GRIK5	Membrane; multi-pass membrane protein
DB00142	BE0000834	Metabotropic glutamate receptor 7	Human	Q14831	GRM7	Membrane; multi-pass membrane protein
DB00142	BE0000835	Metabotropic glutamate receptor 8	Human	O00222	GRM8	Membrane; multi-pass membrane protein
DB00142	BE0002267	Excitatory amino acid transporter 5	Human	O00341	SLC1A7	Membrane
DB00142	BE0002268	5-oxoprolinase	Human	O14841	OPLAH	Cytoplasmic
DB00142	BE0002235	Phosphoribosylformylglycinamidine synthase	Human	O15067	PFAS	Cytoplasm
DB00142	BE0000721	Branched-chain-amino-acid aminotransferase, mitochondrial	Human	O15382	BCAT2	Isoform A:Mitochondrion. Isoform B:Cytoplasm
DB00142	BE0000396	Glutamate receptor ionotropic, NMDA 2D	Human	O15399	GRIN2D	Membrane; multi-pass membrane protein
DB00142	BE0002269	Glutamate receptor ionotropic, delta-2	Human	O43424	GRID2	Membrane
DB00142	BE0000534	Glutamate receptor ionotropic, NMDA 3B	Human	O60391	GRIN3B	Cell membrane; multi-pass membrane protein. Requires the presence of GRIN1 to be targeted at the pla
DB00142	BE0002237	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	Human	O75879	PET112L	Mitochondrion
DB00142	BE0000825	Glutaminase kidney isoform, mitochondrial	Human	O94925	GLS	Cytoplasmic
DB00142	BE0000383	Aspartate aminotransferase, mitochondrial	Human	P00505	GOT2	Mitochondrion; mitochondrial matrix
DB00142	BE0000188	Bifunctional glutamate/proline--tRNA ligase	Human	P07814	EPRS	
DB00142	BE0000219	Asparagine synthetase [glutamine-hydrolyzing]	Human	P08243	ASNS	
DB00142	BE0002240	Glutamine synthetase	Human	P15104	GLUL	Cytoplasm
DB00142	BE0000529	Aspartate aminotransferase, cytoplasmic	Human	P17174	GOT1	Cytoplasm
DB00142	BE0000692	Tyrosine aminotransferase	Human	P17735	TAT	
DB00142	BE0000667	Alanine aminotransferase 1	Human	P24298	GPT	Cytoplasm
DB00142	BE0000403	Vitamin K-dependent gamma-carboxylase	Human	P38435	GGCX	Endoplasmic reticulum; endoplasmic reticulum membrane; multi-pass membrane protein
DB00142	BE0001115	Excitatory amino acid transporter 1	Human	P43003	SLC1A3	Membrane; multi-pass membrane protein
DB00142	BE0000884	Excitatory amino acid transporter 2	Human	P43004	SLC1A2	Membrane; multi-pass membrane protein
DB00142	BE0001054	Excitatory amino acid transporter 3	Human	P43005	SLC1A1	Membrane; multi-pass membrane protein
DB00142	BE0000166	Glutamate--cysteine ligase catalytic subunit	Human	P48506	GCLC	Cytoplasmic
DB00142	BE0002270	Excitatory amino acid transporter 4	Human	P48664	SLC1A6	Membrane
DB00142	BE0000755	Glutamate dehydrogenase 2, mitochondrial	Human	P49448	GLUD2	Mitochondrion; mitochondrial matrix
DB00142	BE0000321	GMP synthase [glutamine-hydrolyzing]	Human	P49915	GMPS	Cytoplasm
DB00142	BE0000517	Branched-chain-amino-acid aminotransferase, cytosolic	Human	P54687	BCAT1	Cytoplasm
DB00142	BE0000253	4-aminobutyrate aminotransferase, mitochondrial	Human	P80404	ABAT	Mitochondrion; mitochondrial matrix
DB00142	BE0000365	Glutamate receptor ionotropic, NMDA 1	Human	Q05586	GRIN1	Cell membrane; multi-pass membrane protein. Enriched in post-synaptic plasma membrane and post-synap
DB00142	BE0000700	Folylpolyglutamate synthase, mitochondrial	Human	Q05932	FPGS	Mitochondrion. Cytoplasm
DB00142	BE0002271	Glutamyl aminopeptidase	Human	Q07075	ENPEP	Membrane
DB00142	BE0000760	Glutamate receptor ionotropic, NMDA 2A	Human	Q12879	GRIN2A	Membrane; multi-pass membrane protein
DB00142	BE0000417	Glutamate receptor ionotropic, NMDA 2B	Human	Q13224	GRIN2B	Membrane; multi-pass membrane protein
DB00142	BE0000454	Glutamate receptor ionotropic, NMDA 2C	Human	Q14957	GRIN2C	Membrane; multi-pass membrane protein
DB00142	BE0002152	Aspartate aminotransferase	Human	Q14957	GIG18	
DB00142	BE0002272	Probable glutamate--tRNA ligase, mitochondrial	Human	Q5JPH6	EARS2	Mitochondrion
DB00142	BE0002273	Lengsin	Human	Q5TDP6	LGSN	
DB00142	BE0002244	Glutamine-dependent NAD(+) synthetase	Human	Q6IA69	NADSYN1	Cytoplasmic
DB00142	BE0002162	Kynurenine--oxoglutarate transaminase 3	Human	Q6YP21	CCBL2	
DB00142	BE0002274	N-acetylglutamate synthase, mitochondrial	Human	Q8N159	NAGS	Mitochondrion
DB00142	BE0000727	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	Human	Q8N5Z0	AADAT	Mitochondrion (Potential)
DB00142	BE0000641	Glutamate receptor ionotropic, NMDA 3A	Human	Q8TCU5	GRIN3A	Cell membrane; multi-pass membrane protein. Enriched in post-synaptic plasma membrane and post-synap
DB00142	BE0002166	Alanine aminotransferase 2	Human	Q8TD30	GPT2	
DB00142	BE0002275	Mitochondrial glutamate carrier 2	Human	Q9H1K4	SLC25A18	Mitochondrion
DB00142	BE0002276	Mitochondrial glutamate carrier 1	Human	Q9H936	SLC25A22	Mitochondrion
DB00142	BE0000073	Alpha-aminoadipic semialdehyde synthase, mitochondrial	Human	Q9UDR5	AASS	Mitochondrion
DB00142	BE0000003	Glutaminase liver isoform, mitochondrial	Human	Q9UI32	GLS2	Mitochondrion
DB00142	BE0002277	Aspartyl aminopeptidase	Human	Q9ULA0	DNPEP	Cytoplasm
DB00142	BE0002278	Glutamate receptor ionotropic, delta-1	Human	Q9ULK0	GRID1	Membrane
DB00142	BE0000030	Cystine/glutamate transporter	Human	Q9UPY5	SLC7A11	Membrane; multi-pass membrane protein (Probable)
DB00142	BE0004640	Carboxypeptidase Q	Human	Q9Y646	PGCP	
DB00142	BE0000603	Phosphoserine aminotransferase	Human	Q9Y617	PSAT1	
DB00142	BE0000180	Glutamate dehydrogenase 1, mitochondrial	Human	P00367	GLUD1	Mitochondrion; mitochondrial matrix
DB00142	BE0000346	Glutamate receptor ionotropic, kainate 1	Human	P39086	GRIK1	Membrane; multi-pass membrane protein
DB00142	BE0000640	Glutamate receptor 1	Human	P42261	GRIA1	Membrane; multi-pass membrane protein
DB00142	BE0000606	Glutamate--cysteine ligase regulatory subunit	Human	P48507	GCLM	
DB00142	BE0000568	Glutamate carboxypeptidase 2	Human	Q04609	FOLH1	Cell membrane; single-pass type II membrane protein. Isoform PSMA':Cytoplasm
DB00142	BE0000602	Glutamate decarboxylase 2	Human	Q05329	GAD2	Cytoplasm; cytosol. Cytoplasmic vesicle. Associated to cytoplasmic vesicles. In neurons, cytosolic l
DB00142	BE0000378	Glutamate decarboxylase 1	Human	Q99259	GAD1	
DB00142	BE0000822	Formimidoyltransferase-cyclodeaminase	Human	O95954	FTCD	Cytoplasm
DB00142	BE0000829	Glutamate receptor 2	Human	P42262	GRIA2	Membrane; multi-pass membrane protein
DB00142	BE0000831	Glutamate receptor 3	Human	P42263	GRIA3	Membrane; multi-pass membrane protein
DB00142	BE0000830	Glutamate receptor 4	Human	P48058	GRIA4	Membrane; multi-pass membrane protein
DB00142	BE0000823	Delta-1-pyrroline-5-carboxylate synthase	Human	P54886	ALDH18A1	Mitochondrion; mitochondrial inner membrane
DB00142	BE0000826	Glutamate receptor ionotropic, kainate 2	Human	Q13002	GRIK2	Membrane; multi-pass membrane protein
DB00142	BE0000832	Glutamate receptor ionotropic, kainate 3	Human	Q13003	GRIK3	Membrane; multi-pass membrane protein
DB00143	BE0002279	Microsomal glutathione S-transferase 3	Human	O14880	MGST3	Microsome
DB00143	BE0001167	Hematopoietic prostaglandin D synthase	Human	O60760	HPGDS	Cytoplasm
DB00143	BE0002280	Thioredoxin domain-containing protein 12	Human	O95881	TXNDC12	Endoplasmic reticulum
DB00143	BE0002281	Glutathione S-transferase A1	Human	P08263	GSTA1	Cytoplasm
DB00143	BE0002189	Glutathione S-transferase A2	Human	P09210	GSTA2	Cytoplasm
DB00143	BE0002282	Microsomal glutathione S-transferase 1	Human	P10620	MGST1	Microsome
DB00143	BE0002283	S-formylglutathione hydrolase	Human	P10768	ESD	Cytoplasm
DB00143	BE0000889	Gamma-glutamyltranspeptidase 1	Human	P19440	GGT1	Membrane; single-pass type II membrane protein
DB00143	BE0001189	Glutathione S-transferase Mu 2	Human	P28161	GSTM2	Cytoplasm
DB00143	BE0002284	Glutaredoxin-1	Human	P35754	GLRX	Cytoplasm
DB00143	BE0001135	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	Human	P36969	GPX4	Mitochondrion. Cytoplasm
DB00143	BE0002285	Glutathione S-transferase Mu 5	Human	P46439	GSTM5	Cytoplasm
DB00143	BE0002286	Glutathione peroxidase 6	Human	P59796	GPX6	Secreted protein
DB00143	BE0001825	Hydroxyacylglutathione hydrolase, mitochondrial	Human	Q16775	HAGH	
DB00143	BE0002287	Glutathione peroxidase	Human	Q16775	GPX1	
DB00143	BE0002288	Probable glutathione peroxidase 8	Human	Q8TED1	GPX8	
DB00143	BE0002289	Glutathione peroxidase 7	Human	Q96SL4	GPX7	Secreted protein
DB00143	BE0002290	Microsomal glutathione S-transferase 2	Human	Q99735	MGST2	Membrane
DB00143	BE0002291	Glutathione S-transferase omega-2	Human	Q9H4Y5	GSTO2	
DB00143	BE0002292	Glutaredoxin-2, mitochondrial	Human	Q9NS18	GLRX2	Mitochondrion
DB00143	BE0000962	Lactoylglutathione lyase	Human	Q04760	GLO1	
